## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SAMEA2569438.chr10.sorted.reheaded.bam] OUTPUT=SAMEA2569438.chr10.sorted.reheaded.mark_duplicates.bam METRICS_FILE=SAMEA2569438.chr10.metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 23 07:14:47 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SAMEA2569438	1755	170498	196	1755	133	5827	0	0.034389	2437223

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	159302	159302
2.0	1.932435	5046	5046
3.0	2.80187	255	255
4.0	3.612562	41	41
5.0	4.368479	16	16
6.0	5.073323	5	5
7.0	5.730543	2	2
8.0	6.343359	2	2
9.0	6.91477	0	0
10.0	7.447574	0	0
11.0	7.944378	0	0
12.0	8.407616	1	1
13.0	8.839555	0	0
14.0	9.242311	0	0
15.0	9.617854	0	0
16.0	9.968024	0	0
17.0	10.294534	0	0
18.0	10.598984	0	0
19.0	10.882863	0	0
20.0	11.147562	0	0
21.0	11.394377	0	0
22.0	11.624516	0	0
23.0	11.839105	1	1
24.0	12.039196	0	0
25.0	12.225768	0	0
26.0	12.399734	0	0
27.0	12.561945	0	0
28.0	12.713197	0	0
29.0	12.85423	0	0
30.0	12.985734	0	0
31.0	13.108353	0	0
32.0	13.222687	0	0
33.0	13.329296	0	0
34.0	13.428702	0	0
35.0	13.521391	0	0
36.0	13.607818	0	0
37.0	13.688406	0	0
38.0	13.763549	0	0
39.0	13.833614	0	0
40.0	13.898946	0	0
41.0	13.959864	0	0
42.0	14.016665	0	0
43.0	14.069629	0	0
44.0	14.119014	0	0
45.0	14.165063	0	0
46.0	14.208	0	0
47.0	14.248037	0	0
48.0	14.285368	0	0
49.0	14.320177	0	0
50.0	14.352634	0	0
51.0	14.382898	0	0
52.0	14.411117	0	0
53.0	14.43743	0	0
54.0	14.461965	0	0
55.0	14.484842	0	0
56.0	14.506174	0	0
57.0	14.526064	0	0
58.0	14.54461	0	0
59.0	14.561903	0	0
60.0	14.578028	0	0
61.0	14.593064	0	0
62.0	14.607083	0	0
63.0	14.620155	0	0
64.0	14.632344	0	0
65.0	14.64371	0	0
66.0	14.654307	0	0
67.0	14.664189	0	0
68.0	14.673403	0	0
69.0	14.681994	0	0
70.0	14.690005	0	0
71.0	14.697475	0	0
72.0	14.70444	0	0
73.0	14.710934	0	0
74.0	14.71699	0	0
75.0	14.722636	0	0
76.0	14.727901	0	0
77.0	14.73281	0	0
78.0	14.737388	0	0
79.0	14.741656	0	0
80.0	14.745636	0	0
81.0	14.749347	0	0
82.0	14.752807	0	0
83.0	14.756033	0	0
84.0	14.759042	0	0
85.0	14.761847	0	0
86.0	14.764463	0	0
87.0	14.766902	0	0
88.0	14.769176	0	0
89.0	14.771296	0	0
90.0	14.773273	0	0
91.0	14.775117	0	0
92.0	14.776836	0	0
93.0	14.778439	0	0
94.0	14.779934	0	0
95.0	14.781327	0	0
96.0	14.782627	0	0
97.0	14.783838	0	0
98.0	14.784968	0	0
99.0	14.786022	0	0
100.0	14.787004	0	0

